SongID,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,YouTube URL
4158,3KPwt1LBpt1jVSHz8GXERo,Bad Company,Straight Shooter,Feel like Makin' Love - 2015 Remaster,67,313840,False,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,4,hard-rock,https://www.youtube.com/watch?v=DIGcEDAK1Nc&pp=ygVGQmFkIENvbXBhbnkgRmVlbCBsaWtlIE1ha2luJyBMb3ZlIC0gMjAxNSBSZW1hc3RlciBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4159,0zlaa4AmbFE7MVDijsyD9Q,Greta Van Fleet,The Battle at Garden’s Gate,Heat Above,67,341255,False,0.338,0.847,3,-3.692,1,0.0458,0.00881,0.00105,0.147,0.232,139.061,4,hard-rock,https://www.youtube.com/watch?v=vrWFu5k1Jpg&pp=ygUvR3JldGEgVmFuIEZsZWV0IEhlYXQgQWJvdmUgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4160,4qRcjFkFqSpLBzcbLDt7HL,Sona Mohapatra,Fukrey,Ambarsariya,67,248182,False,0.649,0.458,4,-7.632,0,0.0446,0.574,0.0,0.113,0.748,180.071,4,pop-film,https://www.youtube.com/watch?v=K1zynwbgIZw&pp=ygUvU29uYSBNb2hhcGF0cmEgQW1iYXJzYXJpeWEgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4161,29kUiQdEvB9q7joHiYZNJ3,OneRepublic,"I Ain’t Worried - Acoustic (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain’t Worried - Acoustic,67,149233,False,0.711,0.493,5,-6.991,1,0.0357,0.688,1.9e-05,0.0828,0.783,139.994,4,piano,https://www.youtube.com/watch?v=p3Dg_C8_qIo&pp=ygU9T25lUmVwdWJsaWMgSSBBaW7igJl0IFdvcnJpZWQgLSBBY291c3RpYyBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4162,0tWEB6BxbI48XN79QE1JbT,Evanescence,Fallen,Everybody's Fool,67,195880,False,0.437,0.835,2,-5.076,0,0.0405,0.00145,2.27e-05,0.245,0.296,95.111,4,metal,https://www.youtube.com/watch?v=jhC1pI76Rqo&pp=ygUxRXZhbmVzY2VuY2UgRXZlcnlib2R5J3MgRm9vbCBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4163,1OEmd2iXU8pWG7CrKNpGUg,Arijit Singh,Ek Villain,Humdard,67,260590,False,0.572,0.541,5,-6.45,1,0.0245,0.759,0.0,0.111,0.266,87.01,4,pop-film,https://www.youtube.com/watch?v=FJ55SHCzt88&pp=ygUpQXJpaml0IFNpbmdoIEh1bWRhcmQgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4164,7I6mwEFQwpTu5ciVZWFpd4,Mithoon;Arijit Singh,"Aashiqui Aa Gayi (From ""Radhe Shyam"")","Aashiqui Aa Gayi(From ""Radhe Shyam"")",67,260133,False,0.527,0.495,10,-7.783,0,0.0353,0.587,0.0,0.127,0.474,122.826,4,pop-film,https://www.youtube.com/watch?v=lm3yy29vbqM&pp=ygVOTWl0aG9vbjtBcmlqaXQgU2luZ2ggQWFzaGlxdWkgQWEgR2F5aShGcm9tICJSYWRoZSBTaHlhbSIpIG9mZmljaWFsIG11c2ljIHZpZGVv
4165,40P5d3p4icYCiN4SMUOE2E,Bad Omens,THE DEATH OF PEACE OF MIND,Like A Villain,67,210685,True,0.457,0.918,7,-4.51,1,0.203,0.000696,0.000128,0.429,0.392,154.963,4,metalcore,https://www.youtube.com/watch?v=Aibxit_PpAg&pp=ygUtQmFkIE9tZW5zIExpa2UgQSBWaWxsYWluIG9mZmljaWFsIG11c2ljIHZpZGVv
4166,3mRM4NM8iO7UBqrSigCQFH,Bee Gees,Greatest,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",67,285373,False,0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,4,disco,https://www.youtube.com/watch?v=fNFzfwLM72c&pp=ygVUQmVlIEdlZXMgU3RheWluJyBBbGl2ZSAtIEZyb20gIlNhdHVyZGF5IE5pZ2h0IEZldmVyIiBTb3VuZHRyYWNrIG9mZmljaWFsIG11c2ljIHZpZGVv
4167,13Soih2NRLeDx8Unbr22mx,Jessica Keenan Wynn;Alice Lee;Elle McLemore,Heathers: The Musical (World Premiere Cast Recording),Candy Store,67,172826,True,0.728,0.525,1,-5.91,0,0.171,0.585,0.0,0.0962,0.779,141.855,4,show-tunes,https://www.youtube.com/watch?v=v-fjBtfbADA&pp=ygVMSmVzc2ljYSBLZWVuYW4gV3lubjtBbGljZSBMZWU7RWxsZSBNY0xlbW9yZSBDYW5keSBTdG9yZSBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4168,1SyQ6t9RdRBK0QUCS6a797,Naughty By Nature,19 Naughty III,Hip Hop Hooray,67,267266,False,0.862,0.642,6,-13.652,0,0.101,0.102,0.0,0.272,0.765,99.2,4,hardcore,https://www.youtube.com/watch?v=Rz1Xn1vzOM4&pp=ygU1TmF1Z2h0eSBCeSBOYXR1cmUgSGlwIEhvcCBIb29yYXkgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
